City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,fairbanks,64.8378,-147.7164,-27.02,73,100,0.0,US,1674437112
175,atambua,-9.1061,124.8925,25.31,74,98,0.4,ID,1674437112
176,burnie,-41.0667,145.9167,22.19,69,10,3.99,AU,1674436902
177,pathein,16.7833,94.7333,18.39,60,89,2.26,MM,1674437113
178,taoudenni,22.6783,-3.9836,16.21,18,0,4.28,ML,1674437113
179,okhotsk,59.3833,143.3,-25.55,82,32,5.57,RU,1674437114
180,ossora,59.2353,163.0719,-16.37,96,100,1.52,RU,1674437114
181,beringovskiy,63.05,179.3167,-21.75,95,100,6.68,RU,1674437115
182,cabo san lucas,22.8909,-109.9124,20.9,75,40,2.06,MX,1674436824
183,hithadhoo,-0.6,73.0833,26.86,76,46,3.38,MV,1674437115
184,mairang,25.5667,91.6333,4.5,65,100,0.92,IN,1674437116
185,rundu,-17.9333,19.7667,18.62,89,99,1.47,NA,1674437116
186,viedma,-40.8135,-62.9967,18.24,72,2,4.97,AR,1674437117
187,sitka,57.0531,-135.33,3.94,81,100,10.29,US,1674437117
188,maldonado,-34.6667,-54.9167,25.13,59,100,2.05,UY,1674437117
189,sayyan,15.1718,44.3244,9.85,35,3,0.46,YE,1674437118
190,varzelandia,-15.7014,-44.0275,19.56,98,100,1.71,BR,1674437119
191,port alfred,-33.5906,26.891,21.21,96,54,3.14,ZA,1674437119
192,noumea,-22.2763,166.4572,30.99,99,97,2.79,NC,1674436609
193,bayburt,40.2589,40.2278,-5.57,77,2,1.88,TR,1674437120
194,nemuro,43.3236,145.575,-6.43,57,15,5.79,JP,1674437120
195,bamora,24.0552,78.0909,15.23,70,75,2.87,IN,1674437121
196,diffa,13.3154,12.6113,20.96,19,100,4.0,NE,1674437121
197,pacific grove,36.6177,-121.9166,14.29,71,0,11.62,US,1674437121
198,halifax,44.6453,-63.5724,0.25,85,100,3.09,CA,1674437016
199,san andres,12.5847,-81.7006,27.01,78,40,5.14,CO,1674437122
200,katsuura,35.1333,140.3,7.52,91,100,7.79,JP,1674437123
201,esperance,-33.8667,121.9,23.0,48,0,3.47,AU,1674437123
202,liuhe,42.2401,125.7172,-21.96,86,100,2.65,CN,1674437124
